Where is the train station?	¿Dónde está la estación de tren?	"
**Dónde**: Adverb; meaning ""where""; from Old Spanish ""do"" (where) and ""en"" (in). 

**Está**: Verb, 3rd person singular present; meaning ""is located,"" or, ""stands""; root verb ""Estar."" 

**La**: Article, feminine singular; meaning ""the;"" derived from the Latin ""illa"" meaning that. 

**Estación**: Noun, feminine; meaning ""station""; from Latin ""stationem,"" meaning a ""station"" or ""position"".

**De**: Preposition; meaning ""of""; from Latin ""de,"" indicating origin, separation, or derivation.

**Tren**: Noun, masculine; ""train""; the Spanish word originated from the English word ""train,"" in the 19th century with the introduction of railways."
What color is the sky?	¿Qué color es el cielo?	"
**¿Qué**: Interrogative Pronoun; meaning ""what""; from Latin ""quid.""

**Color**: Noun, masculine; meaning ""color""; from Latin ""color, colorem.""

**Es**: Verb, 3rd person singular present indicative; meaning ""is""; root verb ""Ser,"" generally used to indicate identity or description.

**El**: Article, masculine singular; meaning ""the""; from Latin ""ille, illa, illud.""

**Cielo**: Noun, masculine; meaning ""sky""; from Latin ""caelum"" referring to the sky, atmosphere, heaven, or climate."
Sometimes, I like to read books.		A veces, me gusta leer libros.

**A veces**: Adverb; meaning ""sometimes"" or ""at times""; from Latin root words ""ad"" (to, toward) and ""vicis"" (change, turn).

**Me**: Persornal Pronoun; 1st person singular; used here as an indirect object pronoun meaning ""to me""; from Latin ""mē"".

**Gusta**: Verb, third person singular present; meaning ""(it) is pleasing""; root ""Gustar,"" from Latin ""gustus"" meaning ""sense of taste.""

**Leer**: Verb; meaning ""to read""; from Old Spanish ""leer"" which further origins from Latin ""legere"".

**Libros**: Noun, masculine, plural; meaning ""books""; from Latin ""liber""(book), roots in 'liber' indicating 'free', as knowledge provided by books is considered a form of freedom."
I have wrinkled clothes, where is the iron?	Tengo ropa arrugada, ¿dónde está la plancha?	"
**Tengo**: Verb, 1st person singular present; meaning ""I have""; root verb ""Tener"", which came from the Latin word ""tenēre"", meaning to hold or possess.

**Ropa**: Noun, feminine; meaning ""clothes"" or ""clothing""; from Galician-Portuguese, originally used for ""stolen goods"", and later generalized to ""goods"", and then to ""clothing"". 

**Arrugada**: Adjective, feminine; meaning ""wrinkled""; Participial adjective of the verb ""arrugar"", from ""ruga,"" a latin derived word meaning wrinkle. 

**¿Dónde está la**: phrase; meaning ""where is the""; combined usage of ""Dónde"" derived from Latin ""ubi"" via Vulgar Latin word ""unde"" which means where. ""Está"" the 3rd person singular present form of verb ""Estar"" meaning to be for indicative locations or conditions. ""La"" is a feminine article in Spanish derived from Latin word ""illa"". 

**Plancha**: Noun, feminine; meaning ""iron""; originally meaning ""plate."", and it came from the Latin word ""plancus"", meaning flat or level, due to the iron's flat base."
I enjoy reading books in my free time.	Disfruto leyendo libros en mi tiempo libre.	"
**Disfruto**: Verb, 1st person singular present; meaning ""I enjoy""; root verb ""Disfrutar"", which means to enjoy or take pleasure in something.

**Leyendo**: Verb, present participle (gerund) form; meanings include ""reading""; root verb is ""Leer"", which means to read, from the old Spanish ""legere"". 

**Libros**: Noun, masculine, plural whom singular is ""libro""; meaning ""books""; Liber in Latin used to mean a book.

**En**: Preposition; meaning ""in""; This word is shared with many other languages including English ""in"", French ""en"", Italian ""in"" and others.

**Mi**: Possessive adjective, singular and masculine or feminine; meaning ""my"".

**Tiempo libre**: Phrase; meaning ""free time"" composed of two words. ""Tiempo"" is a masculine noun meaning ""time"" from the Latin ""tempus"". ""Libre"", an adjective, meaning free in the sense of liberty or not taken up by responsibilities from Latin ""liber."""
