I eat fruit for breakfast.	Yo como fruta para el desayuno.	"
**Yo**: Pronoun; Meaning ""I""; From Latin ""ego""

**Como**: Verb, 1st person singular present; meaning ""I eat""; Root ""Comer""; From Latin ""comedere.""

**Fruta**: Noun, feminine; meaning ""fruit""; From the Latin ""fructus""

**Para**: Preposition; meaning ""for""; from the Latin ""parare"" meaning 'to make ready'

**El**: Article, masculine; meaning ""the""; From Latin ""ille,"" meaning that

**Desayuno**: Noun, masculine; meaning ""breakfast""; composed of ""des-"" (prefix meaning undone, reverse action) from Latin and ""ayuno"" (fasting) from Latin ""ieiunium"" (fast). It literally means undo fasting or break the fast."
I have a new book.	Tengo un libro nuevo.	"
**Tengo**: Verb, 1st person singular present; meaning ""I have""; root ""Tener,"" from Latin ""tenēre,"" meaning to hold or to possess.

**Un**: Indefinite article, masculine singular; meaning ""a"" or ""an""; from Latin ""unus,"" meaning one.

**Libro**: Noun, masculine singular; meaning ""book""; from Latin ""liber,"" which initially meant ""inner bark of trees"" - the material on which the ancient Romans wrote.

**Nuevo**: Adjective, masculine singular; meaning ""new""; from Latin ""novus."""
I play soccer every Sunday. 	Juego al fútbol todos los domingos. 	"
**Juego**: Verb, 1st person singular present; meaning ""I play""; root verb ""Jugar"", from Latin ""iocare"" which means ""to jest, to joke"".

**al**: Preposition; meaning ""to the"", a contraction of ""a"" (to) and ""el"" (the); It is used when an action is directed towards a specific object/subject.

**fútbol**: Noun, Masculine; meaning ""soccer""; It is borrowed from English ""football"".

**todos los**: Phrase; it means ""every"". ""Todos"" is an adjective meaning 'all,' from Latin 'tōtus' and ""los"" is the masculine plural definite article ""the"" from Latin ""ille"".

**domingos**: Noun, Masculine Plural; meaning ""Sundays""; It is derived from Latin ""domingo"" which means ""day of the Lord""."
I can speak a little bit of Spanish.	Puedo hablar un poco de español.	"
**Puedo**: Verb, 1st person singular present; meaning ""I can""; root ""Poder,"" from Latin ""potere,"" meaning ""be able.""

**Hablar**: Verb; meaning ""to speak""; from Latin ""fabulare,"" which meant to narrate or to talk extensively.

**Un poco de**: Adjective; meaning ""a bit of""; combination of ""Un"" (a/an), ""Poco"" (Little/bit, from Latin ""paucus""), and ""de"" (from Latin ""de,"" indicating origin, separation, or derivation).

**Español**: Noun, masculine; meaning ""Spanish""; from the name of Spain, which comes from the Roman name for the Iberian Peninsula, Hispania."
I want to visit your home.	Quiero visitar tu casa.	"
**Quiero**: Verb, 1st person singular present; meaning ""I want""; from the root verb ""querer"" which means ""to want or desire"". It is from Latin 'quaerere' which means 'seek or gain'.

**Visitar**: Verb; meaning ""visit""; from the Latin word 'visitare'.

**Tu**: Pronoun; meaning ""your""; from the Latin word 'tuus'. It's used to associate something to the person who is being addressed.

**Casa**: Noun, Feminine; meaning ""house or home""; derived from Latin 'casa' which means 'cottage'."
Can I go to the bathroom?	¿Puedo ir al baño?	"
**Puedo**: Verb, 1st person singular present; meaning ""I can""; root verb is ""poder"", which comes from Old Spanish ""poder"", itself derived from Latin ""potere"", meaning to be able.

**Ir**: Verb, infinitive; meaning ""to go"". This word originates from Latin ""ire"".

**Al**: Preposition; meaning ""to the"". It is a contraction of ""a"" (to) + ""el"" (the).

**Baño**: Noun, masculine; meaning ""bathroom"". Derived from the Late Latin word ""balneum"", meaning ""bath""."
I have a lot of homework today.	Tengo mucha tarea hoy.	"
**Tengo**: Verb, 1st person singular present; meaning ""I have""; root ""Tener,"" from Latin ""tenere,"" meaning to hold.

**Mucha**: Adjective, feminine singular; meaning ""a lot of"" or ""much""; from Latin ""multus"" meaning many or much. Gendered feminine to match the noun it describes, ""tarea"".

**Tarea**: Noun, feminine singular; meaning ""homework"" or ""task""; from old Spanish ""tarida,"" which itself possibly derived from Arabic ""tariha,"" meaning task or job. 

**Hoy**: Adverb; meaning ""today""; from Latin ""hodie,"" which is a combination of ""hoc,"" meaning this, and ""diē,"" meaning day."
I am learning to speak Spanish.	Estoy aprendiendo a hablar español.	"
**Estoy**: Verb, 1st person singular present; meaning ""I am""; root ""Estar,"" which originally came from Spanish 'Estare' which means to stand or to be

**Aprendiendo**: Verb, present participle; meaning ""learning""; root ""Aprender,"" which comes from Latin 'aprehēndĕre' meaning to catch or seize; this is a cognate with English ""apprehend"".

**a hablar**: Verb infinitive preceded by preposition 'a'; meaning ""to speak""; root verb ""hablar,"" which comes from Latin 'fabulāri' meaning to talk or converse

**Español**: Noun, masculine singular; meaning ""Spanish""; from the demonym ""español,"" used to denote things related to Spain."
I read books in the park.	Leo libros en el parque.	"
**Leo**: Verb, 1st person singular present; meaning ""I read""; root ""Leer,"" from Latin ""legere.""

**Libros**: Noun, masculine plural; meaning ""books""; from Latin ""liber"".

**En**: Preposition; meaning ""in""; from Latin ""in,"" indicating location or position.

**El parque**: Noun phrase, masculine singular; meaning ""the park""; ""parque"" from French ""parc,"" ultimately derived from Late Latin ""parricus."""
I am happy to meet you.	Estoy feliz de conocerte.	"
**Estoy**: Verb, 1st person singular present; meaning ""I am""; Root verb: ""Estar"", from Latin ""stare"" meaning to stand.

**Feliz**: Adjective; Feminine (when ending with ""a"", as in ""feliz""); meaning ""happy""; descends from Latin ""felix"" meaning fortunate or lucky.

**De**: Preposition; indicates that what follows belongs to, depends on, or is associated with what precedes; its Latin origin is ""de.""

**Conocerte**: Verb; meaning ""to meet you"" or ""to know you""; Infinitive form: conocer, comes from Latin ""cognoscere"" meaning to know or to learn about. The ""-te"" denotes the second person singular or plural object pronoun ""you."""
It is raining outside.	Está lloviendo afuera.	"
**Está**: Verb, 3rd person singular present; refers to ""it is""; Root: ""Estar""; from Latin ""stare"" meaning ""to stand.""

**Lloviendo**: Verb, gerund; meaning ""raining""; Root: ""llover""; from Latin ""pluere"" meaning ""to rain.""

**Afuera**: Adverb; meaning ""outside""; from Old Spanish ""a fuera"". It is a compound word made up of ""a"" (to) + ""fuera"" (outside)."
**Spanish Phrase**	No puedo venir porque estoy enferma.	"
**English Translation**
I can't come because I'm sick.

**Grammar Notes**

**No**: Adverb; meaning ""no"" or ""not""; does not have a root verb; from Old Spanish ""non"" derived from Latin ""non,"" meaning ""not.""

**Puedo**: Verb, 1st person singular present; meaning ""I can""; root verb ""poder,"" meaning ""to be able to""; from Old Spanish, derived from Latin ""potere,"" meaning ""to be powerful.""

**Venir**: Verb; meaning ""to come""; derived from Old Spanish ""venir,"" from Latin ""venire,"" meaning to come.

**Porque**: Conjunction; meaning ""because""; from Old Spanish ""por que,"" derived from Latin ""pro"" meaning “for” and ""quid"" meaning “what.”

**Estoy**: Verb, 1st person singular present; meaning ""I am""; root verb ""estar,"" meaning ""to be""; from Old Spanish ""estar,"" derived from Latin ""stare,"" meaning ""to stand.""

**Enferma**: Adjective, Feminine; meaning ""sick""; derived from Latin ""infirma"", feminine of ""infirmus"", meaning weak or feeble. 

Note: ""Enferma"" is used here instead of ""enfermo"" because the speaker is likely female. Spanish adjectives often change their end letter to match the gender of the noun they are modifying."
You like to read books, right?	Te gusta leer libros, ¿verdad?	"
**Te**: Personal pronoun, neuter; meaning ""you"" in the accusative or dative case; from Old Spanish ""te,"" derived from Latin ""te.""

**Gusta**: Verb, it is used in the 3rd person singular; meaning ""like""; root ""Gustar,"" from Latin ""gustare"".

**Leer**: Verb; meaning ""to read""; from Old Spanish ""leer,"" derived from Latin ""legere.""

**Libros**: Noun, masculine, plural; meaning ""books""; from Latin ""librus,"" derived from ""liber"" which refers to the inner bark of a tree, originally used for writing.

**Verdad**: Noun, feminine; meaning ""truth""; meaning ""right"" in the context; from Latin ""veritas."""
You are my best friend.	Eres mi mejor amigo.	"
**Eres**: Verb, second person singular present; meaning ""you are""; Root Verb ""Ser"", From Latin ""esse"" which means ""to be"".

**Mi**: Possessive pronoun; meaning ""my"".

**Mejor**: Adjective, singular masculine; meaning ""best"" from Latin ""melior"".

**Amigo**: Noun, masculine; meaning ""friend"", from Latin ""amicus"" which means friend, derived from ""amare"" to love."
"""You have a beautiful cat."""	"""Tienes un gato hermoso."""	"
**Tienes**: Verb, 2nd person singular present; meaning ""you have""; root ""Tener,"" from Latin ""tenēre,"" meaning to hold.

**Un**: Article, masculine singular; meaning ""a""; derived from Latin ""unus,"" meaning one.

**Gato**: Noun, masculine; meaning ""cat"". The Spanish phrase (Beginner level A1)  word ""gato"" comes from the Latin word ""cattus,"" which meant domestic cat.

**Hermoso**: Adjective, masculine; meaning ""beautiful"". The Spanish phrase (Beginner level A1)  word ""hermoso"" originated from the Old Spanish form ""formoso,"" which was derived from the Latin word ""formosus,"" meaning beautifully formed or handsome."
**English Phrase**: He speaks loudly when he is happy.	**Spanish Translation**: Él habla fuerte cuando está feliz.	"
**Él**: Pronoun; masculine; meaning ""He""; from Latin ""ille.""

**Habla**: Verb, 3rd person singular present; meaning ""Speaks""; root verb is ""Hablar"", from Latin ""fabulārī"" meaning to talk or to speak.

**Fuerte**: Adjective; meaning ""Loudly"" or ""Strong""; neuter. Latin origin ""fortis"" meaning strong or brave. 

**Cuando**: Conjunction; meaning ""When""; Latin origin ""quando.""

**Está**: Verb, 3rd person singular present; meaning ""He is""; the verb is ""Estar""; from Latin ""stāre"" meaning to stand.

**Feliz**: Adjective; meaning ""Happy""; neuter form. The word has its origin in Latin ""felix."""
I like to drink milk in the morning.	Me gusta beber leche por la mañana.	"
**Me**: Object pronoun; meaning myself; from Latin ""me.""

**Gusta**: Verb, third person singular present; meaning ""like""; root ""gustar"", from Latin ""gustare,"" meaning ""to taste.""

**Beber**: Verb; meaning ""to drink""; from Latin ""bibere.""

**Leche**: Noun, feminine; meaning ""milk""; from Latin ""lac.""

**Por**: Preposition; meaning ""in, by, for, per""; from Latin ""pro.""

**La**: Article, feminine; meaning ""the""; from Latin ""illa.""

**Mañana**: Noun, feminine; meaning ""morning""; from Latin ""mane,"" meaning ""early."""
I don't like eating apples after dinner.	No me gusta comer manzanas después de cenar.	"
**No**: Adverb; meaning ""no"" or ""not""; from Latin ""non.""

**Me gusta**: Verb phrase in 1st person, singular, present; meaning ""I like""; root ""Gustar"", from Latin ""gustare.""

**Comer**: Verb, infinitive; meaning ""to eat""; from Latin ""comedere"". 

**Manzanas**: Noun, feminine, plural; meaning ""apples""; from Latin ""malum matianum.""

**Después de**: Preposition; meaning ""after""; combination of ""Después"" (from Late Latin ""de ex post"") and ""de"" (from Latin ""de,"" indicating origin, separation, or derivation).

**Cenar**: Verb, infinitive; meaning ""to dine"" or ""have dinner""; derived from the Latin noun ""cena"", meaning ""dinner""."
I see the car in the street.	Veo el coche en la calle.	"
**Veo**: Verb, 1st person singular present; meaning ""I see""; Root: ""Ver"", from Latin ""videre"" which means to see, observe, understand.

**El**: Article; Masculine; meaning ""the""; Used in singular, from Latin 'ille' which means that.

**Coche**: Noun; Masculine; meaning ""car""; From Hungarian 'kocsi,' referring to a type of horse-drawn carriage. 

**En**: Preposition; meaning ""in, on, at""; from Latin 'in.'

**La**: Article; Feminine; meaning ""the""; Used in singular, from Latin 'illa' which means that.

**Calle**: Noun; Feminine; meaning ""street""; from Latin ""callis"" referring to a path or trail."
I am always happy to see you.	Siempre estoy feliz de verte.	"
**Siempre**: Adverb; meaning ""always"" or ""ever""; from Latin ""semper.""

**Estoy**: Verb, 1st person singular present; meaning ""I am""; root ""Estar,"" from Latin ""stare,"" meaning ""to stand.""

**Feliz**: Adjective; Masculine/Feminine (depending on the gender of the noun it modifies); meaning ""happy""; derived from Latin ""felix.""

**De**: Preposition; meaning ""of"" or ""from""; from Latin ""de.""

**Verte**: Verb; meaning ""to see you""; root ""Ver"", from Latin ""videre,"" meaning ""to see."" The ""-te"" is a suffix indicators the object ""you"". 

Note: In Spanish phrase (Beginner level A1) , ""Estar"" is one of two verbs that mean ""to be,"" and is used for states of being and locations, as opposed to ""Ser,"" which is used for more permanent or inherent characteristics. Meanwhile, the infinitive form of the verb ""ver"" is used with an object pronoun to indicate who is being seen."
