I cook the rice with chicken.	Cocino el arroz con pollo.	"
**Cocino**: Verb, 1st person singular present; meaning ""I cook""; root ""Cocer"", from Latin ""coquere"" which means ""to cook.""

**El**: Article, masculine singular; meaning ""The""; from Latin ""ille"" which means ""that."" 

**Arroz**: Noun, masculine singular; meaning ""rice""; from Arabic ""ar-rūzz,"" used in Spanish since the 13th century.

**Con**: Preposition; meaning ""with""; from Latin ""cum."" 

**Pollo**: Noun, masculine singular; meaning ""chicken""; from Latin ""pullus"" which means ""young of an animal,"" often used to refer specifically to a young fowl."
I cook in the kitchen.	Yo cocino en la cocina.	"
**Yo**: Pronoun; meaning ""I"". The pronoun can be ommitted in Spanish, as the verb endings imply the subject.

**Cocino**: Verb, 1st person singular present; meaning ""I cook"". Root verb ""cocinar"", from Latin ""coquinare,"" which pertains to the preparation of food.

**En**: Preposition; meaning ""in"". 

**La**: Article, Feminine singular; meaning ""the"". Used before feminine nouns in Spanish.

**Cocina**: Noun, Feminine; meaning ""kitchen"". From Latin ""coquina,"" a place where food is cooked."
The black cat is on the green grass.	El gato negro está en la hierba verde.	"
**El**: Article, masculine; meaning ""the""; from Latin ""ille"" expressing emphasis.

**Gato**: Noun, masculine; meaning ""cat""; the exact origin is uncertain, although some suggest it is from Latin ""catus.""

**Negro**: Adjective, masculine; meaning ""black""; from Latin ""nigrum.""

**Está**: Verb, third person singular present; meaning ""is""; root ""Estar,"" used for temporary states and locations. From Latin ""stare"" meaning ""to stand.""

**En**: Preposition; meaning ""in"" or ""on""; from Latin ""in"".

**La**: Article, feminine; meaning ""the""; from Latin ""illa"" expressing emphasis.

**Hierba**: Noun, feminine; meaning ""grass""; from Latin ""herba.""

**Verde**: Adjective, feminine; meaning ""green""; from Latin ""viridis""."
The black cat is beautiful.	El gato negro es hermoso.	"
**El**: Definite article, masculine; meaning ""the""; No specific root as it's a fundamental part of the Spanish language.

**Gato**: Noun, masculine; meaning ""cat""; from Old Spanish ""gato"", originally from Latin ""cattus.""

**Negro**: Adjective, masculine; meaning ""black""; from Latin ""niger.""

**Es**: Verb, 3rd person singular present; meaning ""is""; root ""ser,"" a basic verb in Spanish indicating identity or nature of something or someone.

**Hermoso**: Adjective, masculine; meaning ""beautiful""; from Spanish ""hermoso"", originally from Latin ""formosus""."
The elephant is gray.	El elefante es gris.	"
**El**: Article; masculine singular form meaning ""the"". 

**Elefante**: Noun; masculine; meaning ""elephant""; from Latin ""elephantus.""

**Es**: Verb; 3rd person singular present; meaning ""is""; root ""Ser.""

**Gris**: Adjective; neutral; meaning ""gray""; from French ""gris."""
The black cat catches the red bird.	El gato negro atrapa al pájaro rojo.	"
**El**: Article, masculine singular; meaning ""the"".

**Gato**: Noun, masculine; meaning ""cat""; from Latin ""catus"", meaning a domestic cat.

**Negro**: Adjective, masculine singular; meaning ""black""; from the Latin ""niger"" of the same meaning.

**Atrapa**: Verb; meaning ""catches, traps""; root ""Atrapar""; from the verb ""traper"", meaning ""to trap"".

**Al**: Preposition/Article; contraction of ""a el""; meaning ""to the"" in English. 

**Pájaro**: Noun, masculine; meaning ""bird""; from Latin ""parabellum"", or ""preparation for war"", due to the bird's constant fluttering and movement as if always prepared to flee or fight.

**Rojo**: Adjective, masculine singular; meaning ""red""; from Latin ""rubeus"", meaning red."
The black dog runs fast.	El perro negro corre rápido.	"
**El**: Definite article, masculine; meaning ""the"".

**Perro**: Noun, masculine; meaning ""dog""; from the old Spanish ""perro,"" believed to be an onomatopoeic formation mimicking the sound of a growl.

**Negro**: Adjective, masculine; meaning ""black""; from Latin ""nigrum.""

**Corre**: Verb, 3rd person singular present; meaning ""he/she/it runs""; root verb ""Correr""; from Latin ""currere.""

**Rápido**: Adverb; meaning ""fast""; from Latin ""rapidus,"" meaning quick or swift."
I eat fruit for breakfast.	Yo como fruta para el desayuno.	"
**Yo**: Pronoun; Meaning ""I""; From Latin ""ego""

**Como**: Verb, 1st person singular present; meaning ""I eat""; Root ""Comer""; From Latin ""comedere.""

**Fruta**: Noun, feminine; meaning ""fruit""; From the Latin ""fructus""

**Para**: Preposition; meaning ""for""; from the Latin ""parare"" meaning 'to make ready'

**El**: Article, masculine; meaning ""the""; From Latin ""ille,"" meaning that

**Desayuno**: Noun, masculine; meaning ""breakfast""; composed of ""des-"" (prefix meaning undone, reverse action) from Latin and ""ayuno"" (fasting) from Latin ""ieiunium"" (fast). It literally means undo fasting or break the fast."
I have a new book.	Tengo un libro nuevo.	"
**Tengo**: Verb, 1st person singular present; meaning ""I have""; root ""Tener,"" from Latin ""tenēre,"" meaning to hold or to possess.

**Un**: Indefinite article, masculine singular; meaning ""a"" or ""an""; from Latin ""unus,"" meaning one.

**Libro**: Noun, masculine singular; meaning ""book""; from Latin ""liber,"" which initially meant ""inner bark of trees"" - the material on which the ancient Romans wrote.

**Nuevo**: Adjective, masculine singular; meaning ""new""; from Latin ""novus."""
I play soccer every Sunday. 	Juego al fútbol todos los domingos. 	"
**Juego**: Verb, 1st person singular present; meaning ""I play""; root verb ""Jugar"", from Latin ""iocare"" which means ""to jest, to joke"".

**al**: Preposition; meaning ""to the"", a contraction of ""a"" (to) and ""el"" (the); It is used when an action is directed towards a specific object/subject.

**fútbol**: Noun, Masculine; meaning ""soccer""; It is borrowed from English ""football"".

**todos los**: Phrase; it means ""every"". ""Todos"" is an adjective meaning 'all,' from Latin 'tōtus' and ""los"" is the masculine plural definite article ""the"" from Latin ""ille"".

**domingos**: Noun, Masculine Plural; meaning ""Sundays""; It is derived from Latin ""domingo"" which means ""day of the Lord""."
I can speak a little bit of Spanish.	Puedo hablar un poco de español.	"
**Puedo**: Verb, 1st person singular present; meaning ""I can""; root ""Poder,"" from Latin ""potere,"" meaning ""be able.""

**Hablar**: Verb; meaning ""to speak""; from Latin ""fabulare,"" which meant to narrate or to talk extensively.

**Un poco de**: Adjective; meaning ""a bit of""; combination of ""Un"" (a/an), ""Poco"" (Little/bit, from Latin ""paucus""), and ""de"" (from Latin ""de,"" indicating origin, separation, or derivation).

**Español**: Noun, masculine; meaning ""Spanish""; from the name of Spain, which comes from the Roman name for the Iberian Peninsula, Hispania."
I want to visit your home.	Quiero visitar tu casa.	"
**Quiero**: Verb, 1st person singular present; meaning ""I want""; from the root verb ""querer"" which means ""to want or desire"". It is from Latin 'quaerere' which means 'seek or gain'.

**Visitar**: Verb; meaning ""visit""; from the Latin word 'visitare'.

**Tu**: Pronoun; meaning ""your""; from the Latin word 'tuus'. It's used to associate something to the person who is being addressed.

**Casa**: Noun, Feminine; meaning ""house or home""; derived from Latin 'casa' which means 'cottage'."
Can I go to the bathroom?	¿Puedo ir al baño?	"
**Puedo**: Verb, 1st person singular present; meaning ""I can""; root verb is ""poder"", which comes from Old Spanish ""poder"", itself derived from Latin ""potere"", meaning to be able.

**Ir**: Verb, infinitive; meaning ""to go"". This word originates from Latin ""ire"".

**Al**: Preposition; meaning ""to the"". It is a contraction of ""a"" (to) + ""el"" (the).

**Baño**: Noun, masculine; meaning ""bathroom"". Derived from the Late Latin word ""balneum"", meaning ""bath""."
I have a lot of homework today.	Tengo mucha tarea hoy.	"
**Tengo**: Verb, 1st person singular present; meaning ""I have""; root ""Tener,"" from Latin ""tenere,"" meaning to hold.

**Mucha**: Adjective, feminine singular; meaning ""a lot of"" or ""much""; from Latin ""multus"" meaning many or much. Gendered feminine to match the noun it describes, ""tarea"".

**Tarea**: Noun, feminine singular; meaning ""homework"" or ""task""; from old Spanish ""tarida,"" which itself possibly derived from Arabic ""tariha,"" meaning task or job. 

**Hoy**: Adverb; meaning ""today""; from Latin ""hodie,"" which is a combination of ""hoc,"" meaning this, and ""diē,"" meaning day."
I am learning to speak Spanish.	Estoy aprendiendo a hablar español.	"
**Estoy**: Verb, 1st person singular present; meaning ""I am""; root ""Estar,"" which originally came from Spanish 'Estare' which means to stand or to be

**Aprendiendo**: Verb, present participle; meaning ""learning""; root ""Aprender,"" which comes from Latin 'aprehēndĕre' meaning to catch or seize; this is a cognate with English ""apprehend"".

**a hablar**: Verb infinitive preceded by preposition 'a'; meaning ""to speak""; root verb ""hablar,"" which comes from Latin 'fabulāri' meaning to talk or converse

**Español**: Noun, masculine singular; meaning ""Spanish""; from the demonym ""español,"" used to denote things related to Spain."
I read books in the park.	Leo libros en el parque.	"
**Leo**: Verb, 1st person singular present; meaning ""I read""; root ""Leer,"" from Latin ""legere.""

**Libros**: Noun, masculine plural; meaning ""books""; from Latin ""liber"".

**En**: Preposition; meaning ""in""; from Latin ""in,"" indicating location or position.

**El parque**: Noun phrase, masculine singular; meaning ""the park""; ""parque"" from French ""parc,"" ultimately derived from Late Latin ""parricus."""
I am happy to meet you.	Estoy feliz de conocerte.	"
**Estoy**: Verb, 1st person singular present; meaning ""I am""; Root verb: ""Estar"", from Latin ""stare"" meaning to stand.

**Feliz**: Adjective; Feminine (when ending with ""a"", as in ""feliz""); meaning ""happy""; descends from Latin ""felix"" meaning fortunate or lucky.

**De**: Preposition; indicates that what follows belongs to, depends on, or is associated with what precedes; its Latin origin is ""de.""

**Conocerte**: Verb; meaning ""to meet you"" or ""to know you""; Infinitive form: conocer, comes from Latin ""cognoscere"" meaning to know or to learn about. The ""-te"" denotes the second person singular or plural object pronoun ""you."""
It is raining outside.	Está lloviendo afuera.	"
**Está**: Verb, 3rd person singular present; refers to ""it is""; Root: ""Estar""; from Latin ""stare"" meaning ""to stand.""

**Lloviendo**: Verb, gerund; meaning ""raining""; Root: ""llover""; from Latin ""pluere"" meaning ""to rain.""

**Afuera**: Adverb; meaning ""outside""; from Old Spanish ""a fuera"". It is a compound word made up of ""a"" (to) + ""fuera"" (outside)."
**Spanish Phrase**	No puedo venir porque estoy enferma.	"
**English Translation**
I can't come because I'm sick.

**Grammar Notes**

**No**: Adverb; meaning ""no"" or ""not""; does not have a root verb; from Old Spanish ""non"" derived from Latin ""non,"" meaning ""not.""

**Puedo**: Verb, 1st person singular present; meaning ""I can""; root verb ""poder,"" meaning ""to be able to""; from Old Spanish, derived from Latin ""potere,"" meaning ""to be powerful.""

**Venir**: Verb; meaning ""to come""; derived from Old Spanish ""venir,"" from Latin ""venire,"" meaning to come.

**Porque**: Conjunction; meaning ""because""; from Old Spanish ""por que,"" derived from Latin ""pro"" meaning “for” and ""quid"" meaning “what.”

**Estoy**: Verb, 1st person singular present; meaning ""I am""; root verb ""estar,"" meaning ""to be""; from Old Spanish ""estar,"" derived from Latin ""stare,"" meaning ""to stand.""

**Enferma**: Adjective, Feminine; meaning ""sick""; derived from Latin ""infirma"", feminine of ""infirmus"", meaning weak or feeble. 

Note: ""Enferma"" is used here instead of ""enfermo"" because the speaker is likely female. Spanish adjectives often change their end letter to match the gender of the noun they are modifying."
You like to read books, right?	Te gusta leer libros, ¿verdad?	"
**Te**: Personal pronoun, neuter; meaning ""you"" in the accusative or dative case; from Old Spanish ""te,"" derived from Latin ""te.""

**Gusta**: Verb, it is used in the 3rd person singular; meaning ""like""; root ""Gustar,"" from Latin ""gustare"".

**Leer**: Verb; meaning ""to read""; from Old Spanish ""leer,"" derived from Latin ""legere.""

**Libros**: Noun, masculine, plural; meaning ""books""; from Latin ""librus,"" derived from ""liber"" which refers to the inner bark of a tree, originally used for writing.

**Verdad**: Noun, feminine; meaning ""truth""; meaning ""right"" in the context; from Latin ""veritas."""
You are my best friend.	Eres mi mejor amigo.	"
**Eres**: Verb, second person singular present; meaning ""you are""; Root Verb ""Ser"", From Latin ""esse"" which means ""to be"".

**Mi**: Possessive pronoun; meaning ""my"".

**Mejor**: Adjective, singular masculine; meaning ""best"" from Latin ""melior"".

**Amigo**: Noun, masculine; meaning ""friend"", from Latin ""amicus"" which means friend, derived from ""amare"" to love."
"""You have a beautiful cat."""	"""Tienes un gato hermoso."""	"
**Tienes**: Verb, 2nd person singular present; meaning ""you have""; root ""Tener,"" from Latin ""tenēre,"" meaning to hold.

**Un**: Article, masculine singular; meaning ""a""; derived from Latin ""unus,"" meaning one.

**Gato**: Noun, masculine; meaning ""cat"". The Spanish phrase (Beginner level A1)  word ""gato"" comes from the Latin word ""cattus,"" which meant domestic cat.

**Hermoso**: Adjective, masculine; meaning ""beautiful"". The Spanish phrase (Beginner level A1)  word ""hermoso"" originated from the Old Spanish form ""formoso,"" which was derived from the Latin word ""formosus,"" meaning beautifully formed or handsome."
**English Phrase**: He speaks loudly when he is happy.	**Spanish Translation**: Él habla fuerte cuando está feliz.	"
**Él**: Pronoun; masculine; meaning ""He""; from Latin ""ille.""

**Habla**: Verb, 3rd person singular present; meaning ""Speaks""; root verb is ""Hablar"", from Latin ""fabulārī"" meaning to talk or to speak.

**Fuerte**: Adjective; meaning ""Loudly"" or ""Strong""; neuter. Latin origin ""fortis"" meaning strong or brave. 

**Cuando**: Conjunction; meaning ""When""; Latin origin ""quando.""

**Está**: Verb, 3rd person singular present; meaning ""He is""; the verb is ""Estar""; from Latin ""stāre"" meaning to stand.

**Feliz**: Adjective; meaning ""Happy""; neuter form. The word has its origin in Latin ""felix."""
