This steaming tea is very hot.	Bu buharlaşan çay çok sıcak.	"
**Bu**: Demonstrative adjective; meaning ""this""; doesn't indicate gender.

**Buharlaşan**: Verb used as an adjective; meaning ""steaming""; root is ""Buharlaşmak"", which means ""finely dispersed or evaporated water in the atmosphere"". 

**Çay**: Noun; meaning ""tea""; doesn't indicate gender; from Chinese ""chá"" which means tea.

**Çok**: Adverb; meaning ""very"" or ""a lot of""; doesn't indicate gender.

**Sıcak**: Adjective; meaning ""hot""; it comes from the Old Turkic word ""sığak"", which traces back to the verbal root ""sığı-"" meaning ""to burn"" or ""be warm"". There's no gender specified for adjectives in Turkish."
My new bag is very big.	Yeni çantam çok büyük.	"
**Yeni**: Adjective; meaning ""new""; from Old Turkic ""yani.""

**Çantam**: Noun; in the possessive form (1st person singular), it means ""my bag."" The root noun is ""çanta"", meaning""bag."" 

**Çok**: Adverb; meaning ""very"". It originates from the Old Turkic adjective ""çok"", meaning ""proud"", but its meaning has extensively shifted in modern Turkish.

**Büyük**: Adjective; meaning ""big"". It is derived from the Old Turkic verb ""böğü-"", meaning ""to grow."""
She has a big, beautiful house.	Onun büyük, güzel bir evi var.	"
**Onun**: Pronoun; meaning ""her"" or ""his""; can be used for both masculine and feminine, since Turkish doesn't differentiate gender in third person pronouns. It does not have a direct Latin or Greek root, as it is from Turkish origin.

**Büyük**: Adjective; meaning ""big"" or ""large""; used in describing the size, quantity or intensity of something. It is a Turkish word and not derived from another language.

**Güzel**: Adjective; meaning ""beautiful""; used in describing the aesthetic/cosmetic value of something. It's from Old Turkic ""gÖzel,"" which means nice, good-looking.

**Bir**: Numerical; meaning ""a"" or ""one""; it is used before a noun to make it indefinite (as in English ""a car""). Originates from the Old Turkic ""bir.""

**Evi**: Noun; meaning ""house""; derived from ""ev"" but because of the possessive suffix ""-i"", it means ""her house"" or ""his house"". From old Turkish ""ev.""

**Var**: Verb; meaning ""there is"" or ""to have""; sued to express existence or possession. From old Turkish ""bar."""
The weather is very cold today.	Hava bugün çok soğuk.	"
**Hava**: Noun, Feminine; meaning ""air"" or ""weather""; from the Arabic word ""hawa,"" which means air.

**Bugün**: Adverb; meaning ""today""; It is actually a compound word derived from the words ""bu"" (this) and ""gün"" (day).

**Çok**: Adverb; meaning ""very"" or ""a lot""; It is a notable word since it came directly from Proto-Turkic *čōg. 

**Soğuk**: Adjective; meaning ""cold""; Its root is ""Soğu."" The origination of this word is still uncertain, but some argue that it comes from the Old Turkic word ""soγuk""."
The room is very large.	Oda çok büyük.	"
**Oda**: Noun; meaning ""room""; gender: feminine; the word does not have a specific root since it is a basic noun in Turkish while it has possibly reached from Old-Turkish.

**Çok**: Adverb; meaning ""very"" or ""too much""; root word is ''Çok'' and it's a frequently used term in everyday language. The origin of the Turkish word ""çok"" is unknown. It has no strong traces to either Latin or Greek lexicon. 

**Büyük**: Adjective; meaning ""big"" or ""large"" adjective commonly used in Turkish. Unlike English, Old Turkic language roots include the word ""büyük"". Etymology is not definitive, but the Turkish language found its use of ""büyük"" derived self-sufficiently."
This is a very old book.	Bu çok eski bir kitap.	"
**Bu**: Pronoun, Demonstrative; meaning ""this""; it does not have gender or specific root.

**çok**: Adverb; meaning ""very/much""; its specific root is unknown, but it's a common term used in Turkish language for intensifying adjectives or advices.

**eski**: Adjective; meaning ""old""; originated from Old Turkish ""iske"". The defining characteristic of an adjective in Turkish is that it doesn't have a gender. 

**bir**: Numeral and article; meaning ""a"" or ""one""; it is a common word in Turkish that does not have a known etymology.

**kitap**: Noun; meaning ""book""; originated from Arabic ""kitāb"". The Turkish language does not discern gender in nouns."
The cat is big and grey.	Kedi büyük ve gri.	"
**Kedi**: Noun, neuter (as in Turkish, nouns aren't classified as masculine or feminine); meaning ""cat"". This word is from Proto-Turkic ""kēď"", having the same meaning.

**Büyük**: Adjective, no gender classification in Turkish adjectives; means, ""big"". It evolves from the old Turkish word ""böyük"" having the same meaning.

**ve**: Conjunction; meaning ""and"". It has a Persian origin from the word ""vā"".

**Gri**: Adjective, no gender classification in Turkish adjectives; means, ""grey"". This color denomination entered Turkish via the Persian past tense of the verb; ‘Geridan’– to turn yellow, or of a sandy color. Not classically gray in context but seemingly it steadily transformed into equally meaning ‘gray’ in modern day Turkish usage."
The book is old and big.	Kitap eski ve büyük.	"
**Kitap**: Noun; meaning ""book""; borrowed from the Arabic ""kitāb"".

**eski**: Adjective; meaning ""old"".

**ve**: Conjunction; meaning ""and"".

**büyük**: Adjective; meaning ""big""."
The house is big and beautiful.	Ev büyük ve güzel.	"
**Ev**: Noun; Turkish gender-neutral term for ""house.""

**Büyük**: Adjective; Turkic in origin, meaning ""big"" or ""large.""

**Ve**: Conjunction; Derived from the Arabic word ""wa,"" meaning ""and.""

**Güzel**: Adjective; Historic Turkic term meaning ""beautiful"" or ""nice.""

Please note that unlike many Indo-European languages, Turkish doesn't make a distinction between masculine or feminine forms in nouns and adjectives, so no gender specification is needed for these words."
My new car is fast and comfortable.	Yeni arabam hızlı ve rahat.	"
**Yeni**: Adjective; meaning ""new""; Turkish has agglutinative characteristics hence the root word might change its form due to an affix. There is no exact etymological information.

**Arabam**: Noun; gender-neutral as there is no grammatical gender in Turkish. In this example, ""my car"". It is a combination of ""Araba"" meaning ""car"" with possessive suffix (-m) indicating that it belongs to the speaker.  

**Hızlı**: Adjective; meaning ""fast"". Root ""hız"" which means ""speed"". 

**Ve**: Conjunction; meaning ""and"". Similar to English, simply connects two words or phrases. 

**Rahat**:  Adjective; meaning ""comfortable"". Has Persian roots; Rāhāt in Persian means relief, comfort."
